role,domain,permission,organization_scope,school_scope,campus_scope,resource_scope,backend_enforced,frontend_enforced,positive_test_required,negative_test_required,status,evidence
COUNSELLOR,Student Wellbeing,counselling.view,SCHOOL,CAMPUS,ASSIGNED_STUDENTS,,PARTIAL,PROVEN,NOT_TESTED,BLOCKED,"role_for_designation('Counsellor') -> 'counsellor' in services.py:369; IsStaffRole/IsAcademicMemberRole include 'counsellor'; Helpdesk nav/route includes 'counsellor'"
COUNSELLOR,Student Wellbeing,counselling.manage,SCHOOL,CAMPUS,ASSIGNED_STUDENTS,,PARTIAL,NOT_TESTED,BLOCKED,NOT_TESTED,UNTESTED,"No dedicated counselling module; relies on helpdesk/staff permissions"
COUNSELLOR,Student Wellbeing,counselling.referrals,SCHOOL,CAMPUS,ASSIGNED_STUDENTS,,PARTIAL,NOT_TESTED,BLOCKED,NOT_TESTED,UNTESTED,""
GUARD,Security,visitors.view,SCHOOL,CAMPUS,ASSIGNED_CAMPUS,,PROVEN,PROVEN,NOT_TESTED,BLOCKED,"IsStaffRole includes 'guard'; Helpdesk/Visitors/Digital IDs nav+route include 'guard'"
GUARD,Security,gate_operations.manage,SCHOOL,CAMPUS,ASSIGNED_CAMPUS,,PROVEN,PROVEN,NOT_TESTED,BLOCKED,"Visitors/Digital IDs modules use IsStaffRole which includes 'guard'"
GUARD,Security,incidents.manage,SCHOOL,CAMPUS,ASSIGNED_CAMPUS,,PARTIAL,NOT_TESTED,BLOCKED,NOT_TESTED,UNTESTED,"No dedicated guard incident module; relies on helpdesk/visitors"
NURSE,Health,health_records.view,SCHOOL,CAMPUS,ALL_STUDENTS,,PROVEN,PARTIAL,BLOCKED,NOT_TESTED,"IsStaffRole includes 'nurse'; backend health views use IsStaffRole; frontend /health-records omits 'nurse','staff'"
NURSE,Health,health_records.manage,SCHOOL,CAMPUS,ASSIGNED_STUDENTS,,PARTIAL,NOT_TESTED,BLOCKED,NOT_TESTED,"Backend IsStaffRole includes 'nurse'; frontend /health-records updated; no dedicated nurse module"
NURSE,Health,emergency_info.view,SCHOOL,CAMPUS,ALL_STUDENTS,,PARTIAL,NOT_TESTED,BLOCKED,NOT_TESTED,"Health records may include emergency info; no dedicated emergency module"
ADMINISTRATIVE_OFFICER,Administration,documents.view,SCHOOL,CAMPUS,ALL_DOCUMENTS,,PARTIAL,NOT_TESTED,BLOCKED,NOT_TESTED,"IsStaffRole includes 'administrative_officer'; Helpdesk/Docs modules use IsStaffRole"
ADMINISTRATIVE_OFFICER,Administration,helpdesk.manage,SCHOOL,CAMPUS,ALL_TICKETS,,PROVEN,NOT_TESTED,BLOCKED,NOT_TESTED,"IsStaffRole includes 'administrative_officer'; Helpdesk uses IsStaffRole"
ADMINISTRATIVE_OFFICER,Administration,announcements.manage,SCHOOL,CAMPUS,ALL_ANNOUNCEMENTS,,PARTIAL,NOT_TESTED,BLOCKED,NOT_TESTED,"IsAcademicMemberRole includes 'administrative_officer'; announcements read for all, write for admin+"
ADMINISTRATIVE_OFFICER,Administration,helpdesk.view,SCHOOL,CAMPUS,ALL_TICKETS,,PROVEN,NOT_TESTED,BLOCKED,NOT_TESTED,"IsStaffRole includes 'administrative_officer'; Helpdesk accessible"
LIBRARIAN,Library,library.view,SCHOOL,CAMPUS,ALL_BOOKS,,PROVEN,PROVEN,NOT_TESTED,BLOCKED,"IsLibrarianRole includes 'librarian'; Library module uses IsLibrarianRole"
LIBRARIAN,Library,library.manage,SCHOOL,CAMPUS,ALL_BOOKS,,PROVEN,NOT_TESTED,BLOCKED,NOT_TESTED,"IsLibrarianRole includes 'librarian'; Library module uses IsLibrarianRole"
LIBRARIAN,Library,library.inventory.manage,SCHOOL,CAMPUS,ALL_BOOKS,,PROVEN,NOT_TESTED,BLOCKED,NOT_TESTED,"Library module uses IsLibrarianRole for inventory management"
SUPER_ADMIN,Platform,*.*,ALL,ALL,ALL_RESOURCES,PROVEN,PROVEN,NOT_TESTED,NOT_TESTED,"Highest rank (100); bypasses all permission checks"
ADMIN,Organization,*.*,ORGANIZATION,ALL,ALL_RESOURCES,PROVEN,PROVEN,NOT_TESTED,NOT_TESTED,"Rank 80; second highest; org-wide access"
ORG_ADMIN,Organization,*.*,ORGANIZATION,ALL,ALL_RESOURCES,PROVEN,PROVEN,NOT_TESTED,NOT_TESTED,"Rank 90; multi-school org admin"
HEAD_OFFICE,Organization,*.*,ORGANIZATION,ALL,ALL_RESOURCES,PROVEN,PROVEN,NOT_TESTED,NOT_TESTED,"Rank 85; org-level oversight"
PRINCIPAL,School,*.*,SCHOOL,ALL,ALL_RESOURCES,PROVEN,PROVEN,NOT_TESTED,NOT_TESTED,"Rank 70; school-wide access"
VICE_PRINCIPAL,School,*.*,SCHOOL,ALL,ALL_RESOURCES,PROVEN,PROVEN,NOT_TESTED,NOT_TESTED,"Rank 65; deputy to principal"
CAMPUS_ADMIN,Campus,*.*,SCHOOL,CAMPUS,CAMPUS_RESOURCES,PROVEN,PROVEN,NOT_TESTED,NOT_TESTED,"Rank 60; campus-level admin"
ACADEMIC,Academics,*.*,SCHOOL,ALL,ACADEMIC_RESOURCES,PROVEN,PROVEN,NOT_TESTED,NOT_TESTED,"Rank 55; academic admin"
ACCOUNTANT,Finance,finance.*,ORGANIZATION,ALL,FINANCE_RESOURCES,PROVEN,PROVEN,NOT_TESTED,NOT_TESTED,"Rank 50; IsAccountantRole; finance module access"
HR,HR,hr.*,ORGANIZATION,ALL,HR_RESOURCES,PROVEN,PROVEN,NOT_TESTED,NOT_TESTED,"Rank 45; IsAccountantRole includes hr; HR module access"
RECEPTIONIST,Front Desk,reception.*,SCHOOL,CAMPUS,FRONT_DESK_RESOURCES,PROVEN,PROVEN,NOT_TESTED,NOT_TESTED,"Rank 40; IsStaffRole; visitors/helpdesk access"
GUARD,Security,*.*,SCHOOL,CAMPUS,CAMPUS_RESOURCES,PROVEN,PROVEN,NOT_TESTED,NOT_TESTED,"Rank 30; IsStaffRole; visitors/helpdesk/digital-ids"
NURSE,Health,health.*,SCHOOL,CAMPUS,HEALTH_RESOURCES,PROVEN,PROVEN,NOT_TESTED,NOT_TESTED,"Rank 28; IsStaffRole+IsNurseRole; health-records access"
ADMINISTRATIVE_OFFICER,Administration,admin.*,SCHOOL,CAMPUS,ADMIN_RESOURCES,PROVEN,PARTIAL,NOT_TESTED,BLOCKED,"Rank 38; IsStaffRole+IsAcademicMemberRole; helpdesk/announcements access"
LIBRARIAN,Library,library.*,SCHOOL,CAMPUS,LIBRARY_RESOURCES,PROVEN,PROVEN,NOT_TESTED,BLOCKED,"Rank 35; IsLibrarianRole; library module fully supports"
