Role,Module,UI,API,Authentication,Authorization,Tenant/Campus Isolation,Read Workflow,Safe Action,Mutation,Performance,Responsive UI,Status,Evidence IDs,Notes
F61-01,super_admin,library,/api/library/books/,GET,200,200,200,350,global,none,PASS,Session sa_frostfire.txt verified; super_admin role confirmed
F61-02,super_admin,library,/api/library/issues/,GET,200,200,200,400,global,none,PASS,Session sa_frostfire.txt verified; super_admin role confirmed
F61-03,super_admin,finance_reports,/api/finance/reports/trial-balance/,GET,200,200,200,400,global,none,PASS,Session sa_frostfire.txt verified
F61-04,admin,dashboard,/api/dashboard/overview/,GET,200,200,200,200,institution_1,none,PASS,Session sa_flora.txt verified; principal role confirmed
F61-05,admin,dashboard,/api/dashboard/finance/,GET,200,200,200,350,institution_1,none,PASS,Admin full finance access
F61-06,admin,finance_reports,/api/finance/reports/trial-balance/,GET,200,200,200,400,institution_1,none,PASS,Admin has accountant-permitted access
F61-07,teacher,dashboard,/api/dashboard/overview/,GET,200,200,200,200,institution_1,none,PASS,Session sa_SA-EMP-0001.txt verified; teacher role confirmed
F61-08,teacher,library,/api/library/books/,GET,200,200,200,350,institution_1,none,PASS,Teacher can view own finance data (zeros when no data)
F61-09,teacher,finance_reports,/api/finance/reports/trial-balance/,GET,403,403,403,150,institution_1,none,EXPECTED_FORBIDDEN,Teacher lacks accountant role
F61-10,staff,dashboard,/api/dashboard/overview/,GET,200,200,200,150,institution_1,campus_7,PASS,Session sa_DI-staff.txt verified
STAFF,staff,library,/api/library/books/,GET,200,200,200,150,institution_1,campus_7,PASS,Session sa_DI-staff.txt verified
STAFF,staff,finance_reports,/api/finance/reports/trial-balance/,GET,403,403,403,150,institution_1,campus_7,EXPECTED_FORBIDDEN,Staff lacks accountant role
STUDENT,student,dashboard,/api/dashboard/overview/,GET,200,200,200,200,institution_1,none,PASS,Session sa_SA-ST-0001.txt verified
STUDENT,student,finance_dashboard,/api/dashboard/finance/,GET,200,200,200,350,institution_1,none,PASS,Student can view own finance data (zeros when no data)
STUDENT,student,finance_reports,/api/finance/reports/trial-balance/,GET,403,403,403,100,institution_1,none,EXPECTED_FORBIDDEN,Student lacks accountant role
LIBRARIAN,library,/api/library/books/,GET,NOT_ATTEMPTED,200,READY,READY,READY,READY,READY,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE,Provisioning fixed (role=librarian, must_change_password=False)
LIBRARIAN,library,/api/library/issues/,GET,NOT_ATTEMPTED,200,READY,READY,READY,READY,READY,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE
LIBRARIAN,library,/api/library/issues/<pk>/return/,POST,NOT_ATTEMPTED,200,READY,READY,READY,READY,READY,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE
LIBRARIAN,library,/api/library/reservations/,GET,NOT_ATTEMPTED,200,READY,READY,READY,READY,READY,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE
LIBRARIAN,library,/api/library/reservations/<pk>/fulfill/,POST,NOT_ATTEMPTED,200,READY,READY,READY,READY,READY,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE
LIBRARIAN,library,/api/library/reservations/<pk>/cancel/,POST,NOT_ATTEMPTED,200,READY,READY,READY,READY,READY,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE
LIBRARIAN,library,/api/library/books/<pk>/copies/,GET,NOT_ATTEMPTED,200,READY,READY,READY,READY,READY,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE
LIBRARIAN,library,/api/library/books/<pk>/copies/<pk>/,GET,NOT_ATTEMPTED,200,READY,READY,READY,READY,READY,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE
LIBRARIAN,Auth,/api/auth/me/,GET,NOT_ATTEMPTED,200,READY,READY,READY,READY,READY,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE
LIBRARIAN,Auth,/api/auth/login/,POST,NOT_ATTEMPTED,200,READY,READY,READY,READY,READY,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE
LIBRARIAN,library,/api/library/reports/,GET,NOT_ATTEMPTED,404,404,404,100,institution_1,none,ROUTE_DEFECT,D-006: /api/library/reports/ returns 404 (frontend expects)
LIBRARIAN,library,/api/library/members/,GET,NOT_ATTEMPTED,404,404,404,100,institution_1,none,NOT_IMPLEMENTED,Endpoint not implemented in library/urls.py
LIBRARIAN,library,/api/library/settings/,GET,NOT_ATTEMPTED,404,404,404,100,institution_1,none,NOT_IMPLEMENTED,Endpoint not implemented in library/urls.py
LIBRARIAN,library,/api/library/,GET,NOT_ATTEMPTED,404,404,404,100,institution_1,none,NOT_IMPLEMENTED,No root view implemented
LIBRARIAN,Auth,/api/auth/me/,GET,NOT_ATTEMPTED,200,READY,READY,READY,READY,READY,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE
LIBRARIAN,Auth,/api/auth/login/,POST,NOT_ATTEMPTED,200,READY,READY,READY,READY,READY,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE
ACCOUNTANT,Finance,/api/finance/reports/trial-balance/,GET,NOT_ATTEMPTED,200,READY,READY,READY,READY,READY,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE
ACCOUNTANT,Finance,/api/dashboard/finance/,GET,NOT_ATTEMPTED,200,READY,READY,READY,READY,READY,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE
ACCOUNTANT,Finance,/api/finance/reports/income-expense/,GET,NOT_ATTEMPTED,200,READY,READY,READY,READY,READY,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE
ACCOUNTANT,Finance,/api/finance/reports/receivables/,GET,NOT_ATTEMPTED,200,READY,READY,READY,READY,READY,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE
ACCOUNTANT,Finance,/api/finance/categories/,GET,NOT_ATTEMPTED,200,READY,READY,READY,READY,READY,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE
ACCOUNTANT,Finance,/api/finance/fee-structures/,GET,NOT_ATTEMPTED,200,READY,READY,READY,READY,READY,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE
ACCOUNTANT,Finance,/api/finance/categories/,GET,NOT_ATTEMPTED,200,READY,READY,READY,READY,READY,NOT_CERTIFIED — TEST CREDENTIALS UNAVAILABLE
