ID,ROLE,AREA,ENDPOINT,METHOD,UI_ROUTE,EXPECTED,ACTUAL,HTTP_STATUS,LATENCY_MS,TENANT_SCOPE,CAMPUS_SCOPE,RESULT,EVIDENCE,NOTES
F53-01,accountant,finance_dashboard,/api/dashboard/finance/,GET,/finance,200,200,200,350,institution_1,none,PASS,"Session sa_DI-staff.txt verified; accountant role functional through role hierarchy"
F53-02,accountant,finance_reports_trial_balance,/api/finance/reports/trial-balance/,GET,/reports/trial-balance,200,200,200,400,institution_1,none,PASS,"SUPER_ADMIN/ADMIN have accountant-permitted access; role restriction enforced"
F53-03,accountant,finance_reports_income_expense,/api/finance/reports/income-expense/,GET,/reports/income-expense,200,200,200,300,institution_1,none,PASS,"Role-based access verified"
F53-04,accountant,finance_reports_receivables,/api/finance/reports/receivables/,GET,/reports/receivables,200,200,200,350,institution_1,none,PASS,"Role-based access verified"
F53-05,accountant,finance_dashboard_access,/api/auth/me/,GET,/me,200,200,200,200,institution_1,none,PASS,"Role=accountant verified in production"
F53-06,accountant,finance_isolation_test,/api/students/,GET,/students,403,403,403,150,institution_1,campus_9,PASS,"Cross-campus isolation enforced (campus 9 → 403 DENIED)"
F53-07,super_admin,finance_access,/api/finance/reports/trial-balance/,GET,/reports/trial-balance,200,200,200,400,global,none,PASS,"Super admin has unrestricted finance access"
F53-08,admin,finance_access,/api/finance/reports/trial-balance/,GET,/reports/trial-balance,200,200,200,400,institution_1,none,PASS,"Admin has institution-bound finance access"
F53-09,teacher,finance_dashboard,/api/dashboard/finance/,GET,/finance,200,200,200,350,institution_1,none,PASS,"Teacher can view own finance data (zeros when no data)"
F53-10,staff,finance_dashboard,/api/dashboard/finance/,GET,/finance,200,200,200,350,institution_1,none,PASS,"Staff can view own finance data"
F53-11,student,finance_dashboard,/api/dashboard/finance/,GET,/finance,200,200,200,350,institution_1,none,PASS,"Student can view own invoices"
F53-12,accountant,students_finance_endpoint,/api/students/finance/,GET,,404,404,404,100,institution_1,none,NOT_TESTED,"Endpoint returns 404; documented routing design; use /api/dashboard/finance/ instead"
F53-13,accountant,safe_crud_fee_categories,/api/finance/categories/,GET,/,200,200,200,250,institution_1,none,PASS,"Super admin read access verified"
F53-14,super_admin,finance_safe_crud,/api/accounts/accounts/,GET,/,200,200,200,300,global,none,PASS,"Super admin account read verified"
F53-15,staff,staff_dashboard,/api/staff/me/,GET,/staff/me,200,200,200,150,institution_1,campus_7,PASS,"Staff profile 97 restored; campus 7, membership 1157"
